CODE CLIENT;LIBELLE;RAISON SOCIAL;ADRESSE 1;ADRESSE 2;CODE POSTAL;VILLE;PAYS;CLIENT BLOQUE;VALIDITE;MAIL1;MAIL2;MAIL3;FAMILLE
TOTZACBANK;TOTAL ZAC BANK ST PIERRE;TOTAL ZAC BANK ST PIERRE;119, rue Luc LORION;;97410;SAINT PIERRE;RE; ;E;888ckdistribution@gmail.com;;;EXT
VIT3MARES;VITO TROIS MARES;VITO TROIS MARES VJ DISTRIBUTION SARL;482, Route Hubert DELISLE;;97430;LE TAMPON;RE; ;E;vjdistribution@wanadoo.fr;;;EXT
VITCHROYAL;VITO CHAUSSE ROYALE;VITO CHAUSSE ROYALE ST PAUL;330 rue St-Louis;;97460;SAINT PAUL;RE; ;E;ts2.97460@gmail.com;;;EXT
VITGOLSTLO;VITO LE GOL;VITO LE GOL;1 Rond Point du Gol;;97450;SAINT LOUIS;RE; ;E;vitolegol@hotmail.com;;;EXT
VITLASOURC;VITO LA SOURCE;VITO LA SOURCE;14, Bd Jean JAURES;;97400;SAINT DENIS;RE; ;E;vitolasource@gmail.com;vitolasource@gmail.com;;EXT
VITOCDILEP;VITO COMPAGNIE INDES LE PORT;VITO COMPAGNIE DES INDES LE PORT;6, avenue compagnie des Indes;;97420;LE PORT;RE; ;E;fazal.s@hotmail.com;;;EXT
VITPALIAND;VITO PANIANDY;VITO PANIANDY;RN2, Quatre voies;;97412;BRAS PANON;RE; ;E;vanikam@orange.fr;nicole.nillameyom@gmail.com;;EXT
VITPIERFON;VITO PIERREFONDS;VITO PIERREFONDS;RN1, Pierrefonds;;97410;SAINT PIERRE;RE; ;E;vito.pierrefonds@gmail.com;;;EXT
VITPOSSESS;VITO POSSESSION;VITO POSSESSION;31, rue Youri GAGARINE;;97419;LA POSSESSION;RE; ;E;vitopossession@gmail.com;;;EXT
VITQUARTFR;VITO QUARTIER FRANCAIS;VITO QUARTIER FRANCAIS;55, av Mahatma GANDHI;;97441;SAINTE SUZANNE;RE; ;E;sibear@orange.fr;;;EXT
VITRAVCHEV;VITO RAVINE DES CHEVRES;VITO RAVINE DES CHEVRES;46, rue Roget PAYET RDC;;97438;SAINTE MARIE;RE; ;E;station.odile@orange.fr;;;EXT
VITSTANDRE;VITO ST ANDRE;VITO ST ANDRE;RN2 - 707, Che Lagourgue;;97440;SAINT ANDRE;RE; ;E;jf-ramassamy@orange.fr;jf-ramassamy@orange.fr;;EXT
VITSTCLOTI;VITO STE CLOTILDE;VITO STE CLOTILDE;Bd Jean JAURES;;97400;SAINT DENIS;RE; ;E;stationcafesdechine@orange.fr;;;EXT
VITSTGILL2;VITO ST GILLES 2;VITO ST GILLES 2;207, Rue du Gnral De Gaulle;;97434;SAINT GILLES;RE; ;E;theveninservice@wanadoo.fr;;;EXT
VITSTPAUL;VITO ST PAUL;VITO ST PAUL;29, rue de la caverne;;97460;SAINT PAUL;RE; ;E;valerie.kanor@groupe-incana.com;;;EXT
VITTECHNOP;VITO TECHNOPOLE STE CLOTILDE;VITO TECHNOPOLE STE CLOTILDE;11, rue de la solidarit;;97490;SAINTE CLOTILDE;RE; ;E;vitozactriangle@gmail.com;vitozactriangle@gmail.com;;EXT
VITTERROUG;VITO TERRE ROUGE;VITO TERRE ROUGE;27 RN2 TERRE ROUGE;;97410;SAINT PIERRE;RE; ;E;sarl.trd@orange.fr;;;EXT
VITTOURVID;VITO TOURNANT VIDOT;VITO TOURNANT VIDOT;1548 Avenue du Bourbon;;97440;SAINT ANDRE;RE; ;E;scse@mercure.re;;;EXT
VITZACPORT;VITO ZAC PORTAIL ST LEU;VITO ZAC PORTAIL ST LEU;ZAP PORTAIL ST LEU;;97424;PITON SAINT LEU;RE; ;E;sarltsp@orange.fr;;;EXT
VIVSALINEL;VIVAL SALINE LES BAINS;VIVAL SALINE LES BAINS;8, route nationale;;97434;LA SALINE LES BAINS;RE; ;E;fresh.france@gmail.com;;;EXT
WOKTAMPON;WOK LE TAMPON;WOK LE TAMPON;245 RUE HUBERT DELISLE;;97430;LE TAMPON;RE; ;E;;;;INT
ZENTRAITEU;ZEN TRAITEUR O.I;ZEN TRAITEUR O.I;16 IMPASSE DES ALOES;;97427;ETANG SALE;RE; ;E;zentraiteur@capmechant.re;;;INT
ZN_GOSTGIL;GO BY LE CAP MECHANT;GO BY LE CAP MECHANT;107 BOULEVARD HUBERT DELISLE;ERMITAGE LES BAINS;97434;SAINT GILLES;RE; ;E;;;;INT
ZN_MACAULI;ZEN NORD;ZEN NORD;27 RUE VICTOR MAC AULIFFE;;97400;SAINT DENIS;RE; ;E;;;;INT
ZN_TAMARIN;ZEN TAMARINS;ZEN TAMARINS;ROUTE DES TAMARINS-AIRE DE LA SALINE;AVAL PK 10,5 - LA SALINE;97422;SAINT PAUL;RE; ;E;;;;INT
