"csoc","ctie","ltie","cnatie","rtie","clang","cdevise","datmod","cusermod","idtva","ccdliv","cfmtie","gencod","ctiec","cmdliv","zinutil","ctiex1","ctiex2","ctiex3","datcre","cusercre","cpos","tel","ville","cfmcpti","tconfcde","appjour","appheured","appheuref","derncde","note","etat","tdiv","csocoff","ctieoff","csnatie","cacheteur","cappro","cdatpx","admstamp","ctieapayer","cptad","sensad","tcee","tdeb","csocclt","ctieclt","cetabclt","csocor","cetabor","baseor","ttieint","csoctieint","cetabtieint","dtapp","tstkfrs","csocdepfrs","cetabdepfrs","cdepotfrs","cdelvar","ctrlfac","datrep","cuserrep","cetatrep","vilcdliv","siret","tstkpref","cetabarr","clieuarr","csocdeppref","cetabdeppref","cdepotpref"
"CL","4010REMBAL","REMBAL OI","FRS","REMBAL OI","FRA","EUR","15/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","10/06/2021 00:00:00","FRAIAL","97400","0692099335","SAINT DENIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010REMBAL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BANA","SARL BANANES","FRS","SARL BANANES","FRA","EUR","29/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","11/06/2021 00:00:00","FRAIAL","97410","","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010BANA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BIOIMP","BIO IMPORT REUNION","FRS","BIO IMPORT","FRA","EUR","23/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","23/06/2021 00:00:00","FRAIAL","97427","0262 45 84 68","ETANG-SALE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010BIOIMP","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PECHE","LA PECHERIE - GLOBAL SEAFOOD","FRS","LA PECHERIE","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","25/06/2021 00:00:00","FRAIAL","97434","0262432480","SAINT GILLES LES BAINS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010PECHE","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010FORICH","FORICHER MOULIN DES GAULTS","FRS","FORICHER","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","30/06/2021 00:00:00","FRAIAL","45500","02 38 67 02 63","POILLY LEZ GIEN","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010FORICH","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010DISBEP","DISBEP SOCIETE DE DISTRIBUTION","FRS","DISBEP","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97420","02 62 42 78 90","LE PORT","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010DISBEP","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SOREBR","SOREBRA","FRS","SOREBRA","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97450","0262.26.82.42","SAINT-LOUIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010SOREBR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010STRADA","STRADA","FRS","STRADA","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97410","","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010STRADA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SYMBIO","SYMBIOSE MEDICAL","FRS","SYMBIOSE","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97410","02 62 25 80 32","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010SYMBIO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010STARCO","STARCO HYGIENE ET CUISINE","FRS","STARCO","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97824","02 62 42 11 83","LE PORT","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","20","4010STARCO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PPC","PPC DISTRIBUTION","FRS","PPC DISTRIB","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","30/06/2021 00:00:00","FRAIAL","97400","0262 30 17 38","SAINT DENIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010PPC","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MARTIN","LE MARTIN PECHEUR","FRS","MARTIN PECHE","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","01/07/2021 00:00:00","FRAIAL","97460","","SAINT-PAUL","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010MARTIN","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SEVARO","SEVAROME","FRS","SEVAROME","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","01/07/2021 00:00:00","FRAIAL","43200","04 71 59 39 86","YSSINGEAUX","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010SEVARO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CAUDAL","CAUDALIES CAVISTE AFFINATAIRE","FRS","CAUDALIES","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","01/07/2021 00:00:00","FRAIAL","97460","02 62 45 32 44","SAINT-PAUL","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010CAUDAL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010DAR","DAR","FRS","DAR","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","01/07/2021 00:00:00","FRAIAL","80035","+39 081 510 23 08","NOLA","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010DAR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010COINFR","LE COIN FRAICHEUR","FRS","COIN FRAICHE","FRA","EUR","09/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","09/07/2021 00:00:00","FRAIAL","97460","","SAINT PAUL","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010COINFR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SPHB","SPHB","FRS","SPHB","FRA","EUR","04/08/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","12/07/2021 00:00:00","FRAIAL","97410","02 62 35 76 96","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010SPHB","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SKC","SKC FRUITS REUNION","FRS","SKC FRUITS","FRA","EUR","16/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","16/07/2021 00:00:00","FRAIAL","97410","0262 25 20 08","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010SKC","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010DRINKS","DRINKS DISTRIBUTION","FRS","DRINKS DISTR","FRA","EUR","22/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","22/07/2021 00:00:00","FRAIAL","97440","02 62 15 00 85","SAINT ANDRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010DRINKS","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NATIV","NATIVEL LAURENT","FRS","NATIVEL LAUR","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","23/07/2021 00:00:00","FRAIAL","97410","0692497319","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010NATIV","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LETAL","L'ETAL REUNION","FRS","L'ETAL REUNI","FRA","EUR","28/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","28/07/2021 00:00:00","FRAIAL","97450","02 62 09 86 34","SAINT-LOUIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010LETAL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SAKURA","SAKURA SARL","FRS","SAKURA","FRA","EUR","04/08/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/08/2021 00:00:00","FRAIAL","97400","02 62 20 42 47","ST DENIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010SAKURA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
